Date,Open,High,Low,Close,Volume
2011-07-25,43504,45179,43187,44907,553923
2011-07-26,45451,45632,44138,44817,423284
2011-07-27,44726,44726,43232,43232,514355
2011-07-28,42780,44002,42101,43776,466656
2011-07-29,43459,43866,42780,43459,267055
2011-08-01,43549,43866,42961,43866,248724
2011-08-02,43640,44228,42961,43142,269700
2011-08-03,42101,43278,40833,43142,544703
2011-08-04,43730,44636,42282,42418,496581
2011-08-05,40018,41829,39701,40607,798455
2011-08-08,39656,40064,35129,38298,1234713
2011-08-09,37121,37347,33454,36216,1078307
2011-08-10,38932,39022,37257,37574,843714
2011-08-11,35401,41105,35084,39882,1026407
2011-08-12,41014,42055,39928,39973,944952
2011-08-16,41920,42101,41060,41920,522844
2011-08-17,41467,42463,41060,42327,386830
2011-08-18,42327,43232,41286,42101,493464
2011-08-19,40607,41467,38207,38207,670731
2011-08-22,38117,40471,36261,39701,729223
2011-08-23,41014,43866,40833,43866,1369023
2011-08-24,44364,44364,42146,42553,724444
2011-08-25,43323,44138,41557,41784,560696
2011-08-26,41648,42282,41014,42101,484168
2011-08-29,42825,43142,41829,42191,468225
2011-08-30,42282,42463,41693,41829,355686
2011-08-31,41829,42689,41014,42101,618592
2011-09-01,42372,43187,41467,41648,730504
2011-09-02,41965,42780,41331,42599,470978
2011-09-05,42101,42327,41105,41286,327081
2011-09-06,40471,41014,38434,39385,590244
2011-09-07,40154,40743,39882,40743,262308
2011-09-08,41286,41376,39611,40833,430422
2011-09-09,40199,40652,39611,39928,255260
2011-09-14,39792,39837,37755,37755,351423
2011-09-15,38841,39385,36397,38026,594221
2011-09-16,38796,39249,38162,39203,548328
2011-09-19,38705,39430,37891,38524,357430
2011-09-20,38298,38841,37574,38841,393694
2011-09-21,39203,39747,38117,39385,395777
2011-09-22,38479,39520,38162,39203,312379
2011-09-23,37936,38796,37710,38026,405042
2011-09-26,38162,38570,35763,36170,644438
2011-09-27,37302,39203,37212,39113,536941
2011-09-28,39701,40199,39022,39792,564875
2011-09-29,39339,40109,39203,39973,426393
2011-09-30,39928,41784,39882,39973,704587
2011-10-04,38026,40290,37936,40290,355658
2011-10-05,40471,40562,39249,39520,391497
2011-10-06,40743,41512,39747,41512,631242
2011-10-07,41739,42463,41105,42237,596596
2011-10-10,42191,42644,41557,42327,334994
2011-10-11,42644,43323,41376,42282,440450
2011-10-12,42282,42644,41829,42372,268294
2011-10-13,42780,43187,40924,40924,821985
2011-10-14,37121,38841,34858,37121,5124241
2011-10-17,38434,38434,36668,37574,2647370
2011-10-18,36849,37755,35944,37483,1109657
2011-10-19,37800,38524,37030,37483,1309011
2011-10-20,37981,37981,35853,35853,1026371
2011-10-21,36170,36487,31010,31960,4973591
2011-10-24,32775,34903,32549,34586,2687981
2011-10-25,35310,36397,34903,35220,1440916
2011-10-26,35310,36080,34903,35582,727233
2011-10-27,35718,35944,34903,35129,757686
2011-10-28,35582,35627,32639,33228,1568406
2011-10-31,32232,35039,31417,34133,2075434
2011-11-01,34631,34858,33726,33726,852233
2011-11-02,32639,34224,32413,33907,648658
2011-11-03,34450,36397,34178,34178,1363309
2011-11-04,34858,35355,34495,34586,734049
2011-11-07,34812,35899,34088,35718,799027
2011-11-08,36035,36759,35853,36216,960250
2011-11-09,36804,36985,34858,35853,812756
2011-11-10,35039,35174,32639,33092,1735542
2011-11-11,33590,34495,28565,34133,5593517
2011-11-14,35220,36397,33590,33726,3392662
2011-11-15,35220,37121,34631,35129,4248547
2011-11-16,36125,36306,33997,33997,1567052
2011-11-17,34360,34812,33228,34088,787572
2011-11-18,33092,34360,33092,33635,695230
2011-11-21,33273,34993,33228,34676,893205
2011-11-22,34360,34812,34088,34133,599065
2011-11-23,33816,33862,32051,32277,1173767
2011-11-24,31689,31960,29606,29787,1803661
2011-11-25,29516,30647,28972,29289,1039257
2011-11-28,29742,31643,29697,31372,1083981
2011-11-29,32413,32549,31010,31055,913286
2011-11-30,31236,33092,30874,32956,1562044
2011-12-01,34224,34858,33726,33726,1414915
2011-12-02,34224,34405,33273,33771,711765
2011-12-05,33997,34812,33318,34767,702975
2011-12-06,35084,35310,34043,34314,592481
2011-12-07,34586,34676,33499,33635,409101
2011-12-08,33726,34314,33137,33726,513414
2011-12-09,33318,34541,33047,34450,633813
2011-12-12,34858,35265,34541,34767,561756
2011-12-13,34405,35220,33997,34043,582911
2011-12-14,34224,34676,33952,33952,347349
2011-12-15,33499,34178,32639,32866,405040
2011-12-16,33409,33680,32866,33228,290074
2011-12-19,33047,33228,30149,31417,798889
2011-12-20,31508,34405,31508,31870,1414577
2011-12-21,32866,33318,32322,32685,609483
2011-12-22,33047,33680,32503,32594,496416
2011-12-23,32820,32956,31915,32051,563320
